product_name,review_date,reviewer_name,reviewer_gender,reviewer_total_reviews,helpful_badge,award_count,review_title,review_content
Yellow Jeans,05/17/2015,Meggi,M,1018,HELPFUL REVIEW,32,Revenge,"She lay completely still. It was almost dark; only a single oil lamp cast its feeble glow through the room. She was cold, even though it was a very warm evening. The women had just left, and a half-dozen mutilated servants had carried the large tub away. In the air and on her skin lingered a slightly soapy scent of roses and saffron, which could have been delightful. Her body had been thoroughly washed, shaved, anointed, and perfumed. What a ridiculousness that she was cleaned just to be soiled again right after.

For he would come to her again today: she had only been in the palace for a few days. As long as his ardor lasted, he came every evening to his latest wife, it was said. Until he wanted the next one and discarded the previous one among the others.

Most families that received the message - rather the command - from the Sultan to give him their daughter in marriage bowed down, perhaps feeling it was an honor. But not all; and her kin, led by her mother, had not complied. A brave, strong woman who had known what awaited her daughter and had wanted to spare her such a fate. Especially since a wedding with a lover was imminent. It had done no good, but a family and this time even a fiancé had been accused of a despicable offense, and for their resistance had to pay with their lives.

It was hard to believe that as a little girl she had envied the women of the Sultan. For the lavish, days-long wedding celebrations, for example. Or when a palanquin glided through the streets as if it had floated out of a fairy tale, surrounded by an incomprehensible fragrance of rose petals and gentle spices. She had imagined being cared for by dozens of willing hands. There had been no golden cage or groping fingers in her childish thoughts.

He would have bathed as well, would be perfumed with the scent of fiery spices, which nevertheless could not conceal his true filth. He never wasted much time. He would throw off his garment, pull down her blanket, and roughly knead her breasts for a moment. Then he would push his powerful belly against her and shove her legs aside. If they did not obey immediately, clumsy hands would help with brute force, and he would take possession of her. Well, he would believe he was taking possession of her, as only such a man might think. But he would never possess her; her innermost self remained hers.

After each time, she had to think of her lover with tears of pain and sorrow in her eyes and of the only secret time when he had been able to come to her. As clueless as they had been, as awkward the hands of young people must have been, they had touched each other so tenderly and sensitively, so lovingly, later passionately and impetuously. She had willingly let him in - what could happen, just a few days before the wedding? It had been unexpected, a little frightening. And wonderful. Quickly, their kisses had to stifle the sounds of both.

She shuddered and pulled the thin blanket tighter around herself at the thought of what nightmare it had now become. And she could count herself lucky that the Sultan had not noticed that he was by no means the first. The days and nights since the pompous wedding had passed like behind a veil of dull horror. But the day before yesterday morning, she had woken up with a completely clear mind and had known what to do.

After a short time above her, he would start grunting like one of the wild boars from the forests. The smell of his sweat would invade her nose. And although it would be the mild, fresh scent of an outwardly clean body, she would feel covered in animalistic stench when the little streams sprang from his sides and his heated belly and laid a slippery film over her body. Then, all of a sudden, it would be over. Almost.

She had thought everything through carefully. With two fingers of her right hand, she would feel for the right ribs beneath the leathery bulges on his back. Yesterday she had tried it; with some pressure, it worked. He would take her firm grip for the excitement that the other women had advised her to feign, and would grin foolishly and self-satisfied. He truly believed he was providing pleasure! As soon as he lay exhausted on her, she could take the stolen knife from the kitchen - it was already under the pillow - and stab it through his heart from behind her fingers. And when she had rolled him off her, it would graciously take her own life as well.

The door opened, and a beam of light fell into the room. A moment later, a shapeless silhouette darkened the light."
Yellow Jeans,05/05/2014,Dobbs,F,100,,23,Versatile Surprise,"Angelliese, oh Angelliese, what have you done? You lavish me with beautiful samples from Rasasi and El Nabil, and I fear I won't be able to sleep peacefully without one or the other from the collection. However, the Sultan won't keep me awake anymore, as it will be arriving at my place tomorrow. A quick decision that I surely won't regret after wearing it enthusiastically three times.

What kind of magic water is this that captivates me so? Musc Sultan starts with a surprise that you wouldn't necessarily expect given the fragrance notes listed above: a wonderfully fresh, juicy lemon opening that doesn't come across as ethereal-light like a cologne, but somehow thicker, more substantial... I don't know how to express it. This so-called ""meaty"" lemon gradually becomes sweeter, accompanied by a lovely, delicate rose that forms a very harmonious connection with the lemon. This is soon complemented by spicy-sweet saffron, which increasingly takes the lead in the fragrance journey. A very successful, balanced composition for my nose.

Only after about an hour does the namesake musk begin to emerge more prominently, initially in a well-balanced interplay with the spicy saffron, then infused with more woody notes. For a while, the musk even takes on a slightly animalistic direction until it finally develops into the musk that I love so much: warm, soft, trustworthy, sensual.

Who would have thought? A truly high-quality smelling perfume without a hint of cheap synthetic notes, an exciting, versatile fragrance development, very good longevity, strong sillage up to the rather skin-close musky finale... and all of this for under €20 for 50 ml - what more could one want?"
V/S,07/09/2025,Greenfan1701,F,189,VERY HELPFUL REVIEW,15,Fragrance jewel par excellence,"Sensual, extraordinary, dense, elegant, refined, in one word CARON.

This little treasure has unfortunately been languishing in my cabinet until now, and today was such a strange, actually funny, dark, dull afternoon/evening that I decided to revisit my fine samples that I wasn't ready to test yet.

Now I have done it and am very surprised, at the same time relieved but also ashamed that I waited so long that I no longer know who gave me this wonderful fragrance. I also don't know if it is the pure perfume, but I assume it is, as it has been hovering around me for so long, smelling, smelling, smelling, simply brilliantly beautiful.

It is floral, balsamic, yellow-powdery, spicy, resinous, but it is also the true French elegance, everything you can imagine is here, and I am unable to pick out anything specific. I only know one thing, it is dreamy, a jewel of the art of fragrance, and it has completely captivated me.

Dear Iris, I strongly suspect that it comes from your treasure chamber, which you always so kindly open for us and in your lovely way also let others partake in, so I thank you from the bottom of my heart for that and already regret it when the AF will someday (I fear in not too distant a future) be emptied."
White Jeans,06/29/2023,Pimm,M,5,HELPFUL REVIEW,6,Natural Mediterranean Citrus Cologne Anno 1819,"A lot of lemon and clove oil, is my impression. These materials are also mentioned by the label, along with rosemary. I think I can also smell orange oil. So quite culinary, which is why it doesn’t remind me of cleaning products, and I don’t perceive any bitter orange oils, making it not similar enough to 4711 to seem outdated. The combination of citrus oils with kitchen herbs seems to never have gone out of style. The top note of the Saint Helena Cologne is zesty, cheerful, and delicious. However, the essential oils are so volatile that the scent - on skin as well as on clothing - can only be perceived from close proximity after just a few minutes, and after an hour, hardly even that. This heart/base phase smells not only sour and spicy but also oily, perhaps due to the rosemary.

Regarding the historical background, the information on napoleon-cologne.fr is a bit confusing for me; I have laid out the following sequence: Napoleon arrived in his exile on Saint Helena in 1815 and used a Cologne imported from Europe, though it is unknown which one. In 1819, there was a supply gap - unclear why - and Napoleon's entourage, specifically his chamberlain and librarian Louis-Étienne Saint-Denis (known as Mamelouk Ali), created a Cologne on Saint Helena that was supposed to resemble the one imported until then. In the English text (usa.napoleon-cologne.com), it sounds as if local plants were used:

“Mameluke Ali pieced together the Eau de Cologne in a traditional way according to the local resources available on the island. Nearby, he mainly had access to citrus trees from which he extracted and collected the essences contained in the fruit peel, using compression with a natural sponge. He also harvested rosemary and cloves, which he distilled to extract their essence. These oils and some others were then mixed with wine spirit in good proportions.”

For practical reasons, I suspect that imported supplies of fruits and spices were used - the French text leaves this possibility open, as it speaks of “des citrus” instead of “citrus trees” and uses the more general “récolter” instead of “harvest.” It would be interesting to know, at least for me, which oils besides the explicitly mentioned ones were used. In any case, probably no special perfume ingredients like bergamot oil. The improvised distillation of any flower oils also seems unlikely to me. More conceivable are other herbs, perhaps in small quantities and therefore not easily identifiable by scent, which could also explain the Farnesol in the allergen list. The citrus fruits were probably simply lemons and oranges.

Napoleon died in 1821, so the Saint Helena Cologne was in use for a maximum of two years. The text mentions a temporary shortage (“disette momentanée,” “disette qui régnait à certains moments”) - so it is conceivable that even only a single batch was produced. The recipe eventually reached Jean Kerléo, co-founder of the Osmothèque in Versailles, from the estate of Saint-Denis, no earlier than 1991. What exact contribution he made is unclear to me. He must have interpreted the information on materials and quantities, and perhaps he also thought about the growing areas and extraction methods of that time. Soon after, marketing began as an olfactory reminiscence of Napoleon, possibly already in the square bottle that is currently shown in the Parfumo photo. “Les parfums historiques” assures, citing the Osmothèque, that the formula corresponds to the original and is “100% natural”; however, no information is provided regarding geographical origin and processing.

The cylindrical bottle advertised on napoleon-cologne.fr has apparently been available since 2020. The formula must have remained the same, but the price per milliliter has increased. The old bottle is still available in some French online shops, which is how I got my current 100-ml bottle in 2021 (for €54 with free shipping). A 25-ml size seems to have recently been added.

These are not prices at which one can spray oneself all over every hour with a clear conscience to survive hot weekends. For this purpose, one would also need to find more refreshing scents, perhaps more with bergamot or bitter orange and fresher spices. Well, spraying once to put oneself in the mindset of the exiled emperor is certainly justifiable. Otherwise, for me, it is a scent that one enjoys a little, briefly, from time to time. However, citrus oils are said not to last too long even in the -opened- bottle. As I understand it, these oils in modern perfumes are usually concentrated and thus more durable; in comparison, this historical Cologne could therefore age particularly quickly. On the skin, however, even modern fixatives seem not to make the most beautiful citrus aromas significantly longer-lasting. Since the suspected ingredients are all easily available as pure essential oils, a diffuser could be a cost-effective alternative with a longer duration of effect; I have no experience with that.

Personal background (for particularly leisurely readers): My parents brought back a bottle as a souvenir from France, probably in the late 90s, possibly with thoughts of our house cat Napoleon. In any case, the still-packaged bottle was displayed on a shelf near the cat litter for years before I had the idea to try the scent. At that time, I only knew various soapy men's fragrances, which I found unpleasant, but whose social function I understood. The Saint Helena Cologne, without a clear reference to gender, age, or social status and already through its very short-term external effect decidedly non-functional, offered me a completely different perspective. (To engage further with perfumes at that time, the Cologne perhaps seemed too much of an exception, and I lacked an idea of how such a hobby could be affordable.)"
Metal Jeans Men,08/27/2020,QueenS,F,8,HELPFUL REVIEW,6,Queen of white flowers,"This is a really beauty! It's all about white flowers, sandalwood and vanilla, beautifully mixt. A perfect fragrance for spring and summer, but it can be worn all year round! It's sweet, but not too sweet, it has a fresh hint, it's also woody, it's sensual, it's a very elegant but modern fragrance - a beauty that you should not miss! The bottle - just astonishing beautiful! And yes, it's very similar to Givenchy L'Interdit."
Metal Jeans Men,03/17/2025,Smeleigh,F,10,HELPFUL REVIEW,4,Let them sit,For the love of god here I go again about the macerating/maturing thing! It’s not even a slight different it’s HUGE! Every single Arab perfume I’ve ever bought (kayali too) is not worth touching for at least 2 months. This one has been left for 6 months probably and I’d genuinely given up. Moved my perfumes into a new cupboard today and gave it a sniff. Where did the sweet creaminess come from. This was a sharp powder bomb last time I smelt it. I’m thrilled and I’ll be wearing it out for a meal tonight. It’s gorgeous. Just don’t throw your scents out for a long time
Metal Jeans Men,07/25/2025,midaramadara,F,50,,1,immediate scrubber,"the opening is fruity (but not juicy) and not too sweet, with plenty of white floral - although the flowers are blitz-blended here, to the point where it’s impossible to pick up much more than the jasmine.
as the concoction settles, the tuberose (which is reminiscent of a poorly executed, synthetic peony note) resurfaces from under the layers of jasmine and it does start being screechy - for some reason it’s giving me vintage ysl and a headache.

it was much better on the blotter than on the skin but now i'm too traumatized to spray it again... (yeah i had to change clothes and scrub my wrist twice to get rid of the smell)

edit: i gave it 9 months. 9 months to cook and macerate and somehow develop. it's nothing more than screechy, cloying, overly sweet, god forsaken tuberose. my wrist hurts from how hard i just scrubbed it off."
Metal Jeans Men,09/28/2023,Gourmandnisi,F,102,,12,Elegant Lady Chewing Gum,"As has often been read, this fragrance is very similar to L'Interdit (2018) EAU DE PARFUM. But still with subtle differences. Givenchy comes across as more delicate and refined.

This one is louder. It screams ""Here I am! An elegant, well-dressed lady. I know how to behave. I wear expensive, noble clothing. My designer handbag in hand. But still, I love chewing gum, that delicious pink Hubba Bubba. Sometimes making a bubble with it. Even if that’s not quite lady-like.""

I really enjoy wearing it. However, it has to fit. In everyday life, it could quickly become too much for me. The bottle is an oriental dream, like most of Lattafa's creations."
Metal Jeans Men,03/02/2024,Lycroth,M,4,,5,Timeless Elegance,"Floral-sweet jasmine scent. The tuberose comes through beautifully. Suitable for everyday use/evening, spring/summer/autumn/winter - young & old! Classy. Develops wonderfully on the skin. But you really need to use about 3-4 sprays. Then the longevity and sillage are also top-notch. Just like L'Interdit (2018) EAU DE PARFUM

I gifted the fragrance to my wife because I was so curious about it. I've read several times that the scent is supposed to be good. And I must say it did not disappoint either my wife or me. The price-performance ratio is incredible. You basically get the L'Interdit (2018) EAU DE PARFUM for around 20€.

There are some fragrances from Lattafa that are beautiful. But just as many that I don't like. You have to test them out."
Metal Jeans Men,10/08/2024,Dimi,M,8,,7,Fakhar Lattafa Women by Lattafa - A Luxurious Masterpiece,"The fragrance is like a gentle breeze rising from the most hidden, damp corners of a forest and suddenly transitioning into a sea of white flowers. The tuberose and sambac jasmine dance in the air, while the earthiness of the forest floor remains hidden beneath, gentle yet always present. The floral notes dominate; they are strong yet delicate, like a wave of soft silk laying..."
Metal Jeans Men,12/17/2024,Dania84,F,5,,4,Positively surprised and yet unsure...,"So this is my first review, and it's for a Lattafa fragrance. At first, I thought the now so hyped scents from the Orient would smell very typical: heavy, rosy, sticky-sweet, overly rosy-patchouli, etc.

Until I smelled Fakhar rose-gold!

I must say that I can't recognize and dissect the individual elements of a fragrance as well as most people here; I can only say whether I like it or not and possibly whether it is heavy, sweet, floral, fresh, woody, or oriental

This one surprised me right from the first sniff: to my perception, fresh and floral at the same time, not my favorite direction but still pleasant and beautiful. After 20-30 minutes, the floral freshness gradually fades into the background, and a mature, feminine, deep scent follows: vanilla-sandalwood, just how I like it. It stays that way, and I love it. However, I must say that it doesn't last that long on the skin, but on the sweater, it lasts longer.

To what extent it resembles L'interdit, I don't want to evaluate, as I don't own it. But I could imagine that it smells similarly mature, feminine, and elegant :)"
Metal Jeans Men,04/04/2025,SunShine1110,F,180,,5,"First fruity, sparkling, then powdery, seductive","Yesterday I tested ""Fakhar Lattafa Women | Lattafa / لطافة"" by Lattafa... and I have to say: it really surprised me positively! The opening is totally pleasant - floral, fruity, fresh - I immediately get notes of lychee, peony, and white peach. The peach (aldehydes) makes the scent sweet yet clean. I can't confirm the listed fragrance notes here. The floral aspect of the scent comes a bit later. At this point, it reminds me a little of Chance Eau Tendre EAU DE TOILETTE or a light Delina EAU DE PARFUM.
Really sparkling and feminine!
After a while, it develops into something more powdery, more intense… the rose and jasmine, orange blossom, and tuberose become more prominent, accompanied by a fine sweetness, but not heavy or overloaded.
In the drydown, it becomes softer, warmer, and sweeter: vanilla, musk, and sandalwood come into play, giving the scent a seductive, opulent note.

Fakhar Women actually reminds me of L’Interdit by Givenchy, but for me personally, Fakhar is somehow more wearable. L’Interdit has too much tuberose for me; I find Fakhar more pleasant because it is also feminine and sensual but not quite as dense and ""in your face"".

Overall: a beautiful, versatile scent that can be easily worn in everyday life, but also has something to offer for the evening. Price-performance is really top-notch like with almost all Lattafas!
For me, it won't be joining my collection, as I probably wouldn't wear it often."
Metal Jeans Men,10/21/2023,Cathlyne91,F,29,,4,A wonderful powdery scent,"A really great, powdery, floral light scent. Unfortunately, it doesn't last very long on me. The price-performance ratio is very good though.
The bottle is simply beautiful and very sturdy.

No headaches and overwhelming patchouli. Tuberose is also not too dominant in the foreground.
Clearly a light, powdery, feminine, everyday-appropriate jasmine.

What you can also do wonderfully with the perfume is layer it.

Perfectly suitable for all occasions."
Metal Jeans Men,11/26/2023,Avokashu,F,2,,5,Everyday Fragrance,"For me, this is a good everyday fragrance; I like to wear it to work. I only use 1-2 sprays, so it's not too loud. I really like the heart notes of jasmine and tuberose. I find the bottle very beautiful, and it is also suitable as a gift (if you know the preferences). I think the longevity is good as well."
Metal Jeans Men,09/19/2025,Basti87,M,1064,HELPFUL REVIEW,4,Great Alternative to L'Interdit,"Let's continue with another women's fragrance. Lattafa really has some great options in their range and always offers truly wonderful alternatives to some bestsellers from niche and mainstream. This Fakhar line is also quite popular. While the male counterpart leans towards YSL Y, this is clearly an alternative to Givenchy's L'Interdit (2018) EAU DE PARFUM. This line from Givenchy is already one of my favorites when it comes to women's designer lines. I love these playful floral notes of orange blossom and tuberose with a slight bubblegum touch. There is also a Fakhar Extrait, which has nothing to do with the previous Fakhar fragrances and stands on its own. With this white bottle featuring a bronze-colored cap and cover, you get this L'Interdit, which is priced at around €80 for 80ml. Here, you pay the usual Lattafa prices of €20 for 100ml. For a small budget, it's definitely worth buying.

Even though this bottle is white, this fragrance is certainly not a white scent. The bottle is visually appealing and quite typical for this brand. I love these beautiful bronze tones in a glossy finish. In some shops and websites, it is listed as Fakhar Rose, which, however, does not appear on the bottle.
The pyramid seems to be incomplete here. Some components are missing, such as the fruity notes that provide great fruity-floral vibes, especially in the opening. Present in this Fakhar is a wonderful fruit mix and also a great pomegranate note. At the heart of the fragrance is, of course, this well-known floral heart note with tuberose, orange blossom, and jasmine. This mix is 100% feminine and somehow slightly playful. This is also due to the tuberose note, which has such light bubblegum vibes as is often the case with this note. It smells similar to L'Interdit and does not come off as cheap. The fruity notes also match well with this floral heart note. The floral mix feels vibrant and has that certain something that I also love about the original Givenchy. This has been well executed here and provides wonderful sensual-feminine notes. The base consists of sensual-sweet notes with vanilla, musk, amber/ambroxan, and also gentle sandalwood. The white musk gives a creamy impression. Overall, a well-rounded ""dupe"" that convinces me, even though I am usually ""Team Original"". The original is a bit rounder, but for about €20, it's an easy blind buy and a great option for everyday use. However, the DNA is rather not for daily wear due to the strong bubblegum tuberose.
Performance is also strong like that of Givenchy. The sillage is really strong and impressive. It is perceived by many and lasts around 10 hours, with the last hours becoming a bit closer to the skin and softer.

Overall, a clear recommendation for women with a small budget. It smells sexy and slightly playful. I can recommend it, especially as an evening and casual fragrance."
Metal Jeans Men,06/07/2024,Night0witch,F,2,,0,Wrong Fragrance Pyramid?,"I am a bit confused and believe that the fragrance pyramid here is incorrect. On the Lattafa website, it lists ""Lattafa Perfume Fakhar Femme"" as follows:

Top notes: Bergamot, Lily, Pomegranate;
Heart notes: Rose, Jasmine, Honeysuckle, Tuberose, Peony, Gardenia;
Base note: Vanilla, Sandalwood, Ambroxan, white musk

Or am I mistaken and this is a completely different scent? (feel free to let me know)

When I tried it, at first it had a bit of a gum-like quality and over time became so indefinably sweet (which, in my opinion/experience, would suggest vanilla in the base note), I only perceive the floral notes very subtly. It is not overly intense and not ""sticky"" sweet, but it only lasts moderately well on my skin even with several sprays.
As I perceive it (with an untrained nose, however), the fragrance pyramid here on Parfumo does not match."
Metal Jeans Men,01/29/2024,HerzogWiesel,M,4,,5,Powder powder,"...or maybe I'm just too young to like it.

Because this is by no means a bad perfume: The flowers are wonderfully present, especially the jasmine blossom, and envelop one in a creamy white scent. Objectively, I can only praise it, and yet I do not like it.

Perhaps it’s because my grandmother's powder had a similar note.
Perhaps it’s because I simply expected something fresher.
Perhaps it’s because I am a man and not so well-versed in the world of women's perfumes ;)

Either way, at this price, you can definitely give it a try if you like floral-creamy-powdery scents!"
Metal Jeans Men,10/23/2024,ParfCh,F,5,HELPFUL REVIEW,1,Good but not particularly exciting,"Personally, I am a huge fan of extraordinary fragrances with very good longevity and sillage. I miss that a little here.

All in all, ""Fakhar Lattafa Women | Lattafa / لطافة"" is a very nice scent. Jasmine and tuberose come through well, so it really smells pleasant. As an everyday fragrance for the office, the perfume is great, as it is not too loud and not too noticeable. I find the longevity and sillage to be rather mediocre, so it's not a banger like some others from the Lattafa brand. However, for the affordable price, you can't go wrong with this scent.
The sample is enough for me - I probably won't be getting a bottle."
Metal Jeans Men,09/27/2025,Nikike,F,4,,2,Childhood Memories!,"This fragrance evokes memories of my childhood 30 years ago. My mother had a cream with a balsamic scent in a ceramic container - I have been searching for a scent just like this for a long time.
The fragrance is very powdery and floral and, in my opinion, lasts surprisingly long. Even the next day, I can still perceive it in my clothing. I really like this scent, but I couldn't wear it every day as it is very prominent."
Metal Jeans Men,10/12/2025,FrauSpinne,F,37,,2,Summery Femininity in a Bottle,"I don't know the original scent :)
I bought Fakhar Lattafa Women EAU DE PARFUM on vacation, as the beautiful one quickly wrapped me around her finger. It's a really great cheapie that's worth the little money!

To me, the scent smells like vacation. Freshly washed, lotioned flowers.
Clean, well-groomed, and warm but without being overwhelming. I could wear it easily at 30 degrees and above without getting a headache. Strangely enough, I was approached about the scent several times. The niche fragrances are usually not worth mentioning, but this one brought me endless compliments :D.

My nose can't untangle anything here, so no detailed review. I can't detect the aforementioned orange blossom, vetiver, or anything like that. However, the overall scent profile is really good and definitely worth a sniff!"
Versace pour Homme,06/08/2025,LeatherLace,F,2,HELPFUL REVIEW,5,Is Incubus really this brutal...,"Every person has experienced certain things in their life that they do not want to be reminded of. Whether it is out of guilt, bad memories or experiences, it doesn't matter, but people prefer to keep quiet about it. Some moments do not tolerate the daylight and take place in the middle of the night, dark, sinister and above all unimaginable and unpredictable. What if this
secret comes out? Secrecy surrounding a fact is not acceptable to many. It leads to speculation and usually ends in denial. This also happened ages ago and not much has changed since then...Incubus became famous for this.

Is the fragrance Incubus really as brutal , violent and sinister as history would want us to believe ? Of course not.

If you're immediately tempted by a gift of chocolate, fresh fruit and a bunch of tuberose the first time you meet, you know it could become serious. What else can you expect from this seduction ritual? Try to focus on the other person, not on yourself because the first moments determine whether it will become the truth or whether you will be left alone again.
His leather jacket is old, probably worn at every date. But his leather pants suits his body perfectly, as it was made hand tailored. All stitching is done with so much precision that it's almost too perfect...too perfect for the man who wears it ? What is he hiding and why? It is sometimes said that there is a beast in every person, so I am warned, but not afraid.
Why should I, I've been through worse haven't I? I let myself be overwhelmed at that moment, Incubus seduces me with a ritual that can be experienced as painful slowly. He comes closer, too close, you smell his breath. He smoked just before entering the room, the smell still lingers around him but you will be surprised because it smells like something creamy, sweet balsamic and even a bit powdery feminine which makes him irresistibly attractive. Your space becomes his space, in between the both of you develops the smell of something balsamic resinious. Almost enchanting.......

Suddenly you realize that it's all a memory of forgotten dreams. Forgotten dreams because the true reality hurts more than a lie. Holding on to the past makes no sence while you cuddle your first born. He smiles back at you in a very familair way.....
You swing the crib and then, out of nowhere, the curtains move as if a breeze came in and a so familiar smell fills the room while the windows are closed...it's the smell of Incubus which makes you wide awaken: the sensual and so powerful smell of leather makes you dizzy from desire. Incubus will be always a part of you even after he left...
""If suddenly
you forget me
do not look for me,
for I shall already have forgotten you""

- Pablo Neruda"
Versace pour Homme,11/10/2020,Floyd,M,570,,47,The Demon of Hypnagogic Illusion,"Then it is dark. You sink deeper into the straw of your sleeping place, the resinous sheet in the barren chamber. You breathe in the scent of dark chocolate, still warm, poured over fermenting fruits that someone placed on your nightstand. It smelled of the smoke from the kitchen flames as you tiredly devoured it for sleep, then everything became a confused cotton, your eyes turned to stone as the room still spun.
Now the smoke glimmers like from tobacco leaves, the edges sharp green, like from damp grasses, you feel the presence of animalistic beings and hallucinate flowers, fleshy and waxy, growing on green spices. Over everything lies a fog that intoxicates the senses, the resins, the wood smoke, the chocolate liqueur. Is this all just a strange dream, or is an incubus present, a demon?
Now the damp meadows are on fire, the fruits, the flowers, the spices are scorching, smoke billows through the room in ethereal sharpness, rain hisses as it extinguishes the smoldering ash and washes the thoughts, the vivid dreams into moist, green, burnt earth.
**
With ""Incubus,"" Nikolay Eremin created a dynamic scent image that remarkably does justice to its theme. The demon of hypnagogic illusion, who mates with a sleeping woman at night without her noticing, initially captivates with a strong yet incredibly balanced blend of resins, bitter chocolate liqueur, tobacco, and wood smoke, which soon gives way to slightly animalistic musk, a waxy-fleshy tuberose, and bitter spices. Vetiver provides sharp contours, appearing both smoky and damp. After about an hour, one truly believes in the presence of the incubus, as the smoke and ash seem so ethereal, almost sulfurous in a positive sense. The visitation fades after about six hours into earthier tones.

(With thanks to Chizza)"
Versus Time for Pleasure,07/08/2022,Parma,M,277,,30,Less is more,"Fresh, cool, slightly damp wood. Natural and urban. Melancholic and robust. For breathing and dressing. Reminds me of Paul Schütze's 'Behind the rain', but less green, less dark, less synthetic. A slightly brighter version. Without sourness. Essentially a mineral-woody scent, permeated by the elements, like a gray dry stone on which the last water remnants silently evaporate, complemented by a wonderfully aromatic pine-cypress ether with - almost soft - green nuances. This uniqueness is further enhanced by a subtly used incense that gives it depth and a touch of mystery. Just like the somewhat sweeter resins myrrh and elemi, which increase wearability with this quality. Everything is incredibly finely tuned, wonderfully restrained without being shy. Radiating a worship-worthy lightness despite its seriousness. An effortless elegance. This composition comes close to Giacobetti's transparent-sensitive masterpieces like 'En Passant' or 'L'Original'. Lyn Harris' less is more style of absolute calmness, simplicity, and lightness, as well as the so soothing renunciation of popular, modern, eternally lasting, and often unpleasantly smelling synthetic components in the drydown, is showcased here par excellence. More expressive due to the ""heavyweight"" ingredients than much of her still relatively young brand. And yet, I can't imagine that this idea can be composed more effortlessly. For me, one of her best works."
Versus Time for Pleasure,01/21/2022,Earthbound,F,6,HELPFUL REVIEW,9,I Prefer to Go Out in the Rain.,"The name of this fragrance immediately caught my attention. I am a total nature person! I love being outside in any weather; no mood of the weather can ruin my spirits. So I enjoy rain just as much as sunshine. My favorite place is in the woods, so the scent combination of rain and wood is not entirely foreign to me.

I was lucky enough to participate in a sharing right away (thank you for that!).
When the sample arrived, I could hardly wait, and upon the first sniff from the bottle, I thought only ""wow!"", authentic rain. So I sprayed it immediately. Even then, an intense clear scent of rain. For me, it’s more rain on asphalt than on wood, but very accurate! Yet even here, I smell a subtle floral note that I really don’t like. However, it is so inconspicuous that I hope it will be fine.

Unfortunately, it does not fit. The rain scent disappears incredibly quickly (not even 20 minutes), and what remains is this totally unpleasant floral-sweet note. Is it the angelica, or the water lily? I don’t know. I just know that I don’t like it. It somehow smells oppressive to me. The scent that lingers is quite weak, but you know how it is, when you don’t like something, no matter how subtle it is, it just bothers you...

So, unfortunately, Rain Wood has disappointed me. It gives a promise upon the first sniff that it cannot keep. If the rain scent didn’t fade so extremely quickly, I would say it’s just a matter of taste whether one likes this floral note or not - but the fact that the scent has nothing to do with rain after half an hour is really a shame.
My boyfriend also tested it and reported a similar experience: the rain scent fades quickly, and for him, it then became floral-sweet, but later turned a bit more bitter. But he is not convinced either. What a pity!
I don’t know what it is; after all, people here have had good experiences with the scent. Maybe it just doesn’t like my skin very much.

So my sample will have to move on, and I’ll just wait for the real rain :)

[Edit: The review was indeed incomplete until just now, due to technical difficulties - I assume it makes more sense now. :D]"
Versus Time for Pleasure,12/30/2020,Smoetn,M,36,,6,Fresh Rainy Forest Floor,"Very nice scent that actually reminds me of a rainy forest floor. The fragrance reminds me of something from the past. It could be Sumatra Rain by Axe (the deodorant of my youth 20 years ago), but I can't be sure about that. Unfortunately, the sillage is not particularly strong, so it's more of a scent for personal relaxation."
Versus Time for Pleasure,10/28/2020,Verbeene,F,232,,17,real and rare,"it's cool in the forest, the dew drops sparkle on the moss
it's quiet in the forest, you hear the leaves rustling,
calm and proud, almost unattainable, the bright trunks reach into the sky
it smells of clean air, clear water, herbs, and hidden flowers.
seemingly quite simple .....and yet it is a highly refined composed perfume.
lasting, refreshing, clarifying, noble.
it has a clarity and tranquility that becomes more valuable with each wear.

""Art is concentrated nature"""
The Dreamer,11/21/2017,Serafina,F,479,HELPFUL REVIEW,5,Little Fire in the Pine Forest?,"Or just the small incense burner in the bathroom when you're sitting in a bath with pine needle oil?

The latter is certainly the safer and cozier association. I do enjoy coniferous perfumes, and therefore this one has my sympathy as well. Among the 4 fragrances from the brand that I get to test in the travel note, it is also the most expressive and the longest-lasting on my skin, which is why it gets a comment from me as the only one.

At the beginning, the impression of conifer resin is so strong that I perceive it as almost camphor-like freshness, but apparently no one else has chosen the classification ""fresh"" so far. The bright and rather cool-looking incense makes its appearance a bit later, but it remains clearly subordinate to the coniferous notes. An absolutely unsweetened, autumnal perfume, probably more of a candidate for leisure time.

Anyone who likes woody-smoky perfumes should take the risk of a test! For me, the only potential purchase candidate from the series."
The Dreamer,08/08/2017,Skubi73,F,70,HELPFUL REVIEW,0,I've discovered another,"absolute feel-good fragrance. It is so wonderfully calming and protective that I really associate Namasté with a peaceful yoga session with meditation, preferably in a clearing in the middle of a coniferous forest. The pine note here is really very, very subtle, in my opinion. It is more of a homogeneous composition of fewer noble ingredients, appearing complex, deep, warming, and yet gently fresh. Overall, it has a slightly ethereal quality, and fresh grasses are also perceptible. I keep looking at the fragrance notes because I feel like something is missing there. Somehow, there is a soft component as a base in the scent, perhaps a hint of patchouli or musk? It reminds me a little of ""Thundra"" in the drydown. Overall, it’s a fragrance perfect for wrapping yourself up in. The sillage on my skin is subtle, and the longevity is about 7 hours. A quiet presence, but one that can still stand out with its constantly emanating pleasant scent. I give it an absolute recommendation for testing!"
